code,rdkit_smiles
066,COc1cccc(c1)Nc1c(cnc2c(C)cc(cc12)S(=O)(=O)c1cccc(c1)C(=O)N(C)C)C(N)=O
067,NS(=O)(=O)c1ccc(cc1)n1cc(nn1)C12C3=C4C5=C1[Ru]45321678C2C1=C6C7C=28
068,CC(=O)c1ccc(cc1)c1ccc(cc1)CCC(O)CC(=O)O
069,O=C(NO)c1cccc(O)c1
06B,COc1ccc(Br)c(OC)c1C(=O)O
06C,CI
06F,Cc1ccc(cc1)n1nc(cc1NC(=O)Nc1cccc(c1)Nc1ccc2C(=O)CCCCc2c1)C(C)(C)C
06H,Cc1c2C(=O)CC(C)(C)Cc2n2-c3ccc(C(N)=O)c(c3)NC(C)C(=O)N(C)CCCc12
06J,Cc1c2C(=O)CC(C)(C)Cc2n2-c3ccc(C(N)=O)c(c3)NCC3CCCN3CCCc12
06P,C[n+]1ccc(cc1)CNC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1
06R,O=C1NC(=Nc2ccccc21)c1ccc(cc1)C(F)(F)F
06S,NC1=NC(=O)c2ncn(c2N1)C1OC(COP(=O)(S)OC2C(COP(=O)(O)S)OC(C2O)N2C=CC(=O)NC2=O)C(OP(=O)(O)S)C1O
06T,Cc1c2C(=O)CC(C)(C)Cc2n2-c3ccc(C(N)=O)c(c3)NC(C)C(C)CN(CCc12)C(=O)C(C)N
06U,CCc1nc(N)nc(N)c1C#CC(C)c1cc(cc(c1)c1ccncc1)OC
06V,CCc1nc(N)nc(N)c1C#CC(C)c1cc(cc(c1)N1CCOCC1)OC
06W,CCc1nc(N)nc(N)c1C#CC(C)c1cc(cc(c1)c1ccncc1)OC
06X,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
06Y,O=C(O)COc1ccccc1
06Z,Nc1nc(Nc2cccc(F)c2)sc1C(=O)c1ccccc1
070,NC(Cc1ccccc1)C(O)C1OC1Cc1ccccc1
071,COc1ccc(cc1Nc1ncc2CCc3c(nn(C)c3-c2n1)C(N)=O)N1CCN(C)CC1
072,CCCCCCCC1SC(CC(=O)N(Cc2ccccc2)Cc2ccccc2)C(=O)N1CCCCc1ccc(cc1)C(=O)O
073,COC(=O)c1ccc(cc1)C(CC=Cc1ccccc1)(Cc1ccc(cc1)C(F)(F)P(=O)(O)O)n1nnc2ccccc21
074,CCCNC(=O)C(O)CC(=O)NC(C(=O)N1CCCC1C(=O)O)C(C)CC
075,CC1(C)SCN(C(=O)C(O)C(Cc2ccccc2)NC(=O)C(CS(C)(=O)=O)NC(=O)COc2cccc3cnccc23)C1C(=O)NC1c2ccccc2CC1O
076,CC(C)C(NC(=O)COc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)C1OC1Cc1ccccc1
077,O=C(O)CC(O)CCc1ccc(cc1)c1ccccc1
078,NC(Cc1ccccc1)C(O)C(N)C(O)Cc1ccccc1
079,CC(C)C(NC(=O)COc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)C(N)C(O)Cc1ccccc1
07B,COC(=O)C1CC(O)C(O)CC1C(=O)OC
07E,CC(O)CCOC1OCC(O)C(O)C1O
07G,CC(C)(C)NC(=O)[C+](c1c([nH]c2cc(Cl)ccc12)C(=O)O)N(C=O)Cc1ccc(F)c(F)c1
07H,O=C(c1cccc(c1)c1ccn[nH]1)N1CCN(CC1)CC1=Cc2ccccc2OC1
